Name,Type,,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,Amount__c,Status__c
new 1,Customer - Direct,,"312 Constitution Place Austin, TX 78767 USA",Austin,TX,,,,,,"312 Constitution Place Austin, TX 78767 USA",,,,,,,,(512) 757-6000,(512) 757-9000,CD451796,http://edgecomm.com,6576,Electronics,139000000,1000,Public,EDGE,"Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",Cold,,0055g00000HLAidAAH,25-10-2022 07:33,21-02-2023 12:34,0055g00000HLAidAAH,21-02-2023 12:34,,,,Pending,Partner Referral,,,,,,,000000000000000AAA,000000000000000AAA,Medium,Silver,Yes,2,Maybe,2657,18-11-2022 00:00,,
new 2,Customer - Direct,,525 S. Lexington Ave,Burlington,NC,27215,USA,,,,,,,,,,,,(336) 222-7000,(336) 222-8000,CD656092,www.burlington.com,546732,Apparel,350000000,9000,Public,BTXT,,Cold,,0055g00000HLAidAAH,25-10-2022 07:33,24-02-2023 10:32,0055g00000HLAidAAH,24-02-2023 10:32,,,,Pending,Phone Inquiry,,,,,,,000000000000000AAA,000000000000000AAA,,Silver,,6,Maybe,5367,18-11-2022 00:00,,
new 5dfsdf,Customer - Direct,,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",Chicago,IL,,,,,,"2334 N. Michigan Avenue, Suite 1500 Chicago, IL 60601, USA",,,,,,,,(312) 596-1000,(312) 596-1500,CD439877,www.grandhotels.com,2268,Hospitality,500000000,5600,Public,GHTL,"Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",Warm,,0055g00000HLAidAAH,25-10-2022 07:33,21-02-2023 12:35,0055g00000HLAidAAH,21-02-2023 12:35,,,,Pending,Other,,,,,,,000000000000000AAA,000000000000000AAA,High,Gold,No,57,Yes,5572,21-05-2023 00:00,,
new 6,Customer - Direct,,"1301 Avenue of the Americas  New York, NY 10019 USA",New York,NY,,,,,,"1301 Avenue of the Americas  New York, NY 10019 USA",,,,,,,,(212) 842-5500,(212) 842-5501,CD355118,http://www.uos.com,4437,Energy,5600000000,145000,Public,UOS,World's third largest oil and gas company.,null,,0055g00000HLAidAAH,25-10-2022 07:33,21-02-2023 12:34,0055g00000HLAidAAH,21-02-2023 12:34,,,,Pending,Purchased List,,,,,,,000000000000000AAA,000000000000000AAA,High,Platinum,Yes,955,Yes,6654,21-05-2023 00:00,,
new 7,Customer - Channel,,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",Portland,OR,,,,,,"620 SW 5th Avenue Suite 400 Portland, Oregon 97204 United States",,,,,,,,(503) 421-7800,(503) 421-7801,CC947211,www.expressl&t.net,8742,Transportation,950000000,12300,Public,EXLT,Commerical logistics and transportation company.,Warm,,0055g00000HLAidAAH,25-10-2022 07:33,21-02-2023 12:35,0055g00000HLAidAAH,21-02-2023 12:35,,,,Pending,Purchased List,,,,,,,000000000000000AAA,000000000000000AAA,Medium,Platinum,null,150,Maybe,4724,21-05-2023 00:00,,
new 8,Customer - Direct,,"888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States",Tucson,AZ,,,,,,"888 N Euclid  Hallis Center, Room 501 Tucson, AZ 85721 United States",,,,,,,,(520) 773-9050,(520) 773-9060,CD736025,www.universityofarizona.com,7321,Education,,39000,Other,,"Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",Warm,,0055g00000HLAidAAH,25-10-2022 07:33,21-02-2023 12:35,0055g00000HLAidAAH,21-02-2023 12:35,,,,Pending,Phone Inquiry,,,,,,,000000000000000AAA,000000000000000AAA,Medium,Gold,No,3,Yes,8350,18-11-2022 00:00,,
new 9,Customer - Direct,,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,UK,,,,,,"Kings Park, 17th Avenue, Team Valley Trading Estate, Gateshead, Tyne and Wear NE26 3HS United Kingdom",,,,,,,,+44 191 4956203,+44 191 4956620,CD355119-A,http://www.uos.com,4437,Energy,,24000,Public,UOS,,,,0055g00000HLAidAAH,25-10-2022 07:33,09-02-2023 07:51,0055g00000HLAidAAH,09-02-2023 07:51,,,,Pending,Partner Referral,,,,,,,000000000000000AAA,000000000000000AAA,High,Platinum,null,34,No,3479,18-11-2022 00:00,,
new 10,Customer - Direct,,"9 Tagore Lane Singapore, Singapore 787472 Singapore",Singapore,Singapore,,,,,,"9 Tagore Lane Singapore, Singapore 787472 Singapore",,,,,,,,(650) 450-8810,(650) 450-8820,CD355120-B,http://www.uos.com,4437,Energy,,3000,Public,UOS,,,,0055g00000HLAidAAH,25-10-2022 07:33,09-02-2023 07:51,0055g00000HLAidAAH,09-02-2023 07:51,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,High,Platinum,No,6,Maybe,2457,21-05-2023 00:00,,
new 11,Customer - Channel,,"345 Shoreline Park Mountain View, CA 94043 USA",Mountain View,CA,,,,,,"345 Shoreline Park Mountain View, CA 94043 USA",,,,,,,,(650) 867-3450,(650) 867-9895,CC978213,www.genepoint.com,3712,Biotechnology,30000000,265,Private,,Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs,null,,0055g00000HLAidAAH,25-10-2022 07:33,09-02-2023 07:51,0055g00000HLAidAAH,09-02-2023 07:51,,,,Pending,Web,,,,,,,000000000000000AAA,000000000000000AAA,Low,Bronze,null,1,Yes,7324,21-05-2023 00:00,,
new 12,,,The Landmark @ One Market,San Francisco,CA,94087,US,,,,,,,,,,,,(415) 901-7000,(415) 901-7002,,www.sforce.com,,,,,,,,,,0055g00000HLAidAAH,25-10-2022 07:33,02-12-2022 15:13,0055g00000HLAidAAH,02-12-2022 15:13,,,,Pending,,,,,,,,000000000000000AAA,000000000000000AAA,,,,,,,,,
